序号,标题,链接,区域,区域分类,面积,朝向,房间信息,价格(元/月),标签,品牌,图片链接,房源编码,抓取时间
3654,整租·兴业银行大厦 1室1厅 南,https://bj.lianjia.com/zufang/HZ1851207162714390528.html,拱墅区-潮鸣-兴业银行大厦,拱墅区,245.39㎡,南,1室1厅1卫,23000,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1851207162714390528,2025/12/8 21:59
3655,合租·金街美地 1居室 北卧,https://bj.lianjia.com/zufang/HZ1850492582140837888.html,西湖区-转塘-金街美地,西湖区,37.00㎡,北,1室0厅0卫,2800,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1850492582140837888,2025/12/8 21:59
3656,合租·恒厚阳光城 2居室 南卧,https://bj.lianjia.com/zufang/HZ1850448874041245696.html,余杭区-中泰-恒厚阳光城,余杭区,70.00㎡,南,2室1厅1卫,2000,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1850448874041245696,2025/12/8 21:59
3657,合租·德信君宸 4居室 南卧,https://bj.lianjia.com/zufang/HZ2103854800914350080.html,萧山区-萧山新城区-德信君宸,萧山区,11.86㎡,南,4室1厅2卫,2060,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2103854800914350080,2025/12/8 21:59
3658,整租·高科商业中心 1室1厅 南,https://bj.lianjia.com/zufang/HZ1850489824138493952.html,富阳区-富春-高科商业中心,富阳区,38.12㎡,南,1室1厅1卫,800,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1850489824138493952,2025/12/8 21:59
3659,整租·和平大厦 1室0厅 东/西,https://bj.lianjia.com/zufang/HZ1850505320447606784.html,拱墅区-德胜东-和平大厦,拱墅区,627.07㎡,东 西,1室0厅0卫,38000,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1850505320447606784,2025/12/8 21:59
3660,整租·复地壹中心 1室1厅 西南,https://bj.lianjia.com/zufang/HZ1851192610882846720.html,拱墅区-申花-复地壹中心,拱墅区,75.98㎡,西南,1室1厅0卫,7000,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1851192610882846720,2025/12/8 21:59
3661,整租·云珀府 4室2厅 南/北,https://bj.lianjia.com/zufang/HZ1849682668552192000.html,临安区-临安-云珀府,临安区,126.00㎡,南 北,4室2厅2卫,2800,,链家,"https://image1.ljcdn.com/110000-inspection/pc1_lYsReWYyT.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ1849682668552192000,2025/12/8 22:00
3662,整租·中交悦美庐 4室2厅 南,https://bj.lianjia.com/zufang/HZ1849800959635488768.html,临平区-临平新城-中交悦美庐,临平区,126.00㎡,南,4室2厅2卫,2700,,,"https://image1.ljcdn.com/110000-inspection/pc1_RtlUuy95U.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ1849800959635488768,2025/12/8 22:00
3663,合租·清泰南苑 6居室 南卧,https://bj.lianjia.com/zufang/HZ1849730028749717504.html,上城区-四季青-清泰南苑,上城区,15.00㎡,南,6室0厅4卫,1800,,,"https://image1.ljcdn.com/110000-inspection/pc1_CfZdIoBaA.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ1849730028749717504,2025/12/8 22:00
3664,合租·臻涛名府 5居室 南卧,https://bj.lianjia.com/zufang/HZ2103880153275826176.html,滨江区-浦沿-臻涛名府,滨江区,14.03㎡,南,5室1厅2卫,1590,精装,自如,https://image1.ljcdn.com/rent-house-1/img/ad40efae68e06d5607579210fcfcecd2-1764230594667/fa88b3777a6ddcbb328f00a2b89b0317.jpg.250x182.jpg,HZ2103880153275826176,2025/12/8 22:00
3665,合租·湖山壹品苑 5居室 南卧,https://bj.lianjia.com/zufang/HZ1849674576510844928.html,临安区-临安-湖山壹品苑,临安区,30.00㎡,南,5室1厅1卫,1700,,,"https://image1.ljcdn.com/110000-inspection/pc1_WU6sRQT2x.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ1849674576510844928,2025/12/8 22:00
3666,整租·大家小墅 4室2厅 南,https://bj.lianjia.com/zufang/HZ1850094469420941312.html,富阳区-富春-大家小墅,富阳区,119.00㎡,南,4室2厅2卫,2500,,,"https://image1.ljcdn.com/110000-inspection/pc1_EeGAY9xGM.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ1850094469420941312,2025/12/8 22:00
3667,整租·桐庐恒大观澜府 3室2厅 南,https://bj.lianjia.com/zufang/HZ1850394690893905920.html,桐庐县-桐庐-桐庐恒大观澜府,桐庐县,115.17㎡,南,3室2厅2卫,2600,精装,,"https://image1.ljcdn.com/110000-inspection/pc1_1n7vpHHyZ_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ1850394690893905920,2025/12/8 22:00
3668,合租·上尚庭 5居室 北卧,https://bj.lianjia.com/zufang/HZ2103909552742203392.html,拱墅区-申花-上尚庭,拱墅区,20.00㎡,北,5室1厅2卫,1530,精装,自如,https://image1.ljcdn.com/rent-house-1/img/ad40efae68e06d5607579210fcfcecd2-1762415733106/7c997a34b533cbf959a2add3e246f5fc.jpg.250x182.jpg,HZ2103909552742203392,2025/12/8 22:00
3669,合租·风雅钱塘 4居室 南卧,https://bj.lianjia.com/zufang/HZ2103842865372200960.html,滨江区-滨江区政府-风雅钱塘,滨江区,12.15㎡,南,4室1厅2卫,1860,精装,自如,https://image1.ljcdn.com/rent-house-1/img/ad40efae68e06d5607579210fcfcecd2-1764233422540/e5a754c8e8e66e29df3933f02b795525.jpg.250x182.jpg,HZ2103842865372200960,2025/12/8 22:00
3670,合租·海兴雅苑 5居室 东卧,https://bj.lianjia.com/zufang/HZ2103844220874784768.html,余杭区-未来科技城-海兴雅苑,余杭区,8.50㎡,东,5室1厅3卫,1490,精装,自如,https://image1.ljcdn.com/rent-house-1/img/ad40efae68e06d5607579210fcfcecd2-1764073522118/e1315cce61c6ed04ce1d7e117a1b0d54.jpg.250x182.jpg,HZ2103844220874784768,2025/12/8 22:00
3671,整租·水岸青云 3室2厅 南,https://bj.lianjia.com/zufang/HZ1850150257459986432.html,富阳区-富春-水岸青云,富阳区,130.00㎡,南,3室2厅2卫,1890,精装,,"https://image1.ljcdn.com/110000-inspection/pc1_mIoQEjoia.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ1850150257459986432,2025/12/8 22:00
3672,合租·亲亲家园二期 5居室 北卧,https://bj.lianjia.com/zufang/HZ2103913695242354688.html,余杭区-三墩-亲亲家园二期,余杭区,8.10㎡,北,5室1厅2卫,1030,精装,自如,https://image1.ljcdn.com/rent-house-1/img/ad40efae68e06d5607579210fcfcecd2-1759642984233/2eb02904f3f0ef42cdb37fb3fd23a95e.jpg.250x182.jpg,HZ2103913695242354688,2025/12/8 22:00
3673,整租·中天之江诚品 4室2厅 南,https://bj.lianjia.com/zufang/HZ1854438336995786752.html,西湖区-转塘-中天之江诚品,西湖区,196.00㎡,南,4室2厅2卫,10000,,,"https://image1.ljcdn.com/110000-inspection/pc1_BYVPnUekA.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ1854438336995786752,2025/12/8 22:00
3674,合租·广宇鼎悦府 4居室 跃层 南卧,https://bj.lianjia.com/zufang/HZ1854086875082391552.html,临平区-临平新城-广宇鼎悦府,临平区,70.00㎡,南,4室2厅1卫,2000,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1854086875082391552,2025/12/8 22:00
3675,合租·湖山壹品苑 4居室 南卧,https://bj.lianjia.com/zufang/HZ1854106191609724928.html,临安区-临安-湖山壹品苑,临安区,80.00㎡,南,4室2厅2卫,3300,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1854106191609724928,2025/12/8 22:00
3676,整租·宋都济宸府 3室2厅 南,https://bj.lianjia.com/zufang/HZ1854390209383235584.html,富阳区-江南新城-宋都济宸府,富阳区,105.78㎡,南,3室2厅2卫,1500,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1854390209383235584,2025/12/8 22:00
3677,整租·近江家园六园 3室2厅 南/北,https://bj.lianjia.com/zufang/HZ1854080128439549952.html,上城区-近江-近江家园六园,上城区,91.92㎡,南 北,3室2厅1卫,6900,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1854080128439549952,2025/12/8 22:00
3678,合租·金地天逸 5居室 北卧,https://bj.lianjia.com/zufang/HZ1854750942461689856.html,萧山区-萧山市区-金地天逸,萧山区,15.00㎡,北,5室1厅3卫,1300,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1854750942461689856,2025/12/8 22:00
3679,整租·裕都大楼 1室0厅 西,https://bj.lianjia.com/zufang/HZ1854466514636242944.html,西湖区-文三西路-裕都大楼,西湖区,909.10㎡,西,1室0厅1卫,33600,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1854466514636242944,2025/12/8 22:00
3680,合租·欣景苑 4居室 南卧,https://bj.lianjia.com/zufang/HZ2103913392854007808.html,拱墅区-三塘-欣景苑,拱墅区,17.50㎡,南,4室1厅2卫,1930,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2103913392854007808,2025/12/8 22:00
3681,合租·野风海天城 3居室 南卧,https://bj.lianjia.com/zufang/HZ2103911511549280256.html,钱塘区-沿江北-野风海天城,钱塘区,9.80㎡,南,3室1厅1卫,1160,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2103911511549280256,2025/12/8 22:00
3682,整租·顺发旺角城 4室2厅 南,https://bj.lianjia.com/zufang/HZ1854779072232554496.html,萧山区-萧山市区-顺发旺角城,萧山区,164.00㎡,南,4室2厅2卫,12200,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1854779072232554496,2025/12/8 22:00
3683,整租·杭房首望澜翠府 3室2厅 南,https://bj.lianjia.com/zufang/HZ1854790707487703040.html,富阳区-东洲-杭房首望澜翠府,富阳区,112.76㎡,南,3室2厅2卫,1400,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1854790707487703040,2025/12/8 22:00
3684,合租·滨江德信东方星城 5居室 东卧,https://bj.lianjia.com/zufang/HZ2103909030316474368.html,上城区-城东新城-滨江德信东方星城,上城区,12.40㎡,东,5室1厅3卫,1860,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2103909030316474368,2025/12/8 22:00
3685,整租·左岸花园 3室2厅 南,https://bj.lianjia.com/zufang/HZ1854451314658902016.html,拱墅区-拱宸桥-左岸花园,拱墅区,108.66㎡,南,3室2厅2卫,4800,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1854451314658902016,2025/12/8 22:00
3686,整租·锦江公寓 3室1厅 南/北,https://bj.lianjia.com/zufang/HZ1855260581037080576.html,临安区-临安-锦江公寓,临安区,88.00㎡,南 北,3室1厅1卫,1400,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1855260581037080576,2025/12/8 22:00
3687,整租·众安理想湾 3室2厅 南,https://bj.lianjia.com/zufang/HZ1855198364258271232.html,临平区-东湖-众安理想湾,临平区,112.28㎡,南,3室2厅2卫,2800,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1855198364258271232,2025/12/8 22:00
3688,整租·星润大厦 2室1厅 南,https://bj.lianjia.com/zufang/HZ1855439756968591360.html,临平区-星桥-星润大厦,临平区,42.00㎡,南,2室1厅1卫,2500,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1855439756968591360,2025/12/8 22:00
3689,整租·九龙仓碧玺 2室2厅 南/北,https://bj.lianjia.com/zufang/HZ1855466584668110848.html,拱墅区-桥西-九龙仓碧玺,拱墅区,89.00㎡,南 北,2室2厅1卫,5000,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1855466584668110848,2025/12/8 22:00
3690,合租·众安朝阳8号 4居室 南卧,https://bj.lianjia.com/zufang/HZ2103874687380488192.html,萧山区-南部卧城-众安朝阳8号,萧山区,10.10㎡,南,4室1厅2卫,1090,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2103874687380488192,2025/12/8 22:00
3691,合租·迎宾花苑 3居室 南卧,https://bj.lianjia.com/zufang/HZ2105573844445036544.html,临平区-临平新城-迎宾花苑,临平区,70.00㎡,南,3室1厅2卫,2000,,,"https://image1.ljcdn.com/110000-inspection/pc1_GUfGLBfkE.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ2105573844445036544,2025/12/8 22:01
3692,整租·环翼城 2室1厅 南,https://bj.lianjia.com/zufang/HZ2105574136028856320.html,上城区-城东新城-环翼城,上城区,65.00㎡,南,2室1厅2卫,8500,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=2025120112060559d,HZ2105574136028856320,2025/12/8 22:01
3693,独栋·绿城长租公寓 潮听明月店 蕅寓·绿城自持四室两厅两卫 4室2厅,https://bj.lianjia.com/apartment/74847.html,仅剩1间,仅剩1间,134.00㎡,1间在租,4室2厅2卫,7300,精装,绿城长租公寓,https://image1.ljcdn.com/wanjia/9a11c5d38c18973094d912f8ac8e29c9-1715406845916/aa4fd662006118aceb09ec563f297e72.jpg.250x182.jpg,636867,2025/12/8 22:01
3694,独栋·爱租 嘉润公馆店 【房东直租】网红江景公寓，奥体中心6号线旁 开间,https://bj.lianjia.com/apartment/74211.html,仅剩1间,仅剩1间,45.00㎡,1间在租,1室0厅1卫,3300,精装,爱租,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,632469,2025/12/8 22:01
3695,整租·万科北宸之光三期拱宸 3室1厅 南,https://bj.lianjia.com/zufang/HZ2105576282489094144.html,余杭区-万达广场-万科北宸之光三期拱宸,余杭区,89.00㎡,南,3室1厅1卫,4000,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105576282489094144,2025/12/8 22:01
3696,整租·金隅观澜商业中心 1室1厅 南,https://bj.lianjia.com/zufang/HZ2105575661509804032.html,钱塘区-沿江南-金隅观澜商业中心,钱塘区,47.00㎡,南,1室1厅1卫,1850,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105575661509804032,2025/12/8 22:01
3697,独栋·爱租 嘉润公馆店 【房东特惠】管家服务6号线钱江世纪城站 1室1厅,https://bj.lianjia.com/apartment/74211.html,仅剩1间,仅剩1间,60.00㎡,1间在租,1室1厅1卫,3600,精装,爱租,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,765199,2025/12/8 22:01
3698,合租·利丰桃源财富中心 2居室 东卧,https://bj.lianjia.com/zufang/HZ2105575499521589248.html,萧山区-钱江世纪城-利丰桃源财富中心,萧山区,30.00㎡,东,2室0厅2卫,1600,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105575499521589248,2025/12/8 22:01
3699,整租·枫吟丽都三区 2室2厅 南,https://bj.lianjia.com/zufang/HZ2105571031614750720.html,西湖区-转塘-枫吟丽都三区,西湖区,89.00㎡,南,2室2厅2卫,4500,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105571031614750720,2025/12/8 22:01
3700,独栋·爱租 嘉润公馆店 奥体中心旁 精装 近地铁6号线钱江世纪城站 可做饭 品牌直租 1室1厅,https://bj.lianjia.com/apartment/74211.html,仅剩1间,仅剩1间,65.00㎡,1间在租,1室1厅1卫,4200,精装,爱租,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,794764,2025/12/8 22:01
3701,整租·绿城桂冠东方四区 4室2厅 南,https://bj.lianjia.com/zufang/HZ2105570974865817600.html,萧山区-钱江世纪城-绿城桂冠东方四区,萧山区,138.57㎡,南,4室2厅2卫,11500,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105570974865817600,2025/12/8 22:01
3702,整租·贝利云栖中心 1室1厅 南,https://bj.lianjia.com/zufang/HZ2105571094340567040.html,西湖区-转塘-贝利云栖中心,西湖区,45.00㎡,南,1室1厅1卫,2300,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105571094340567040,2025/12/8 22:01
3703,独栋·联寓E家 七号线公寓 【萧山开发区优选好房】地铁口 边套平价酒店式公寓 无中介费 1室1厅,https://bj.lianjia.com/apartment/75064.html,仅剩1间,仅剩1间,50.00㎡,1间在租,1室1厅1卫,3000,精装,联寓E家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,638262,2025/12/8 22:01
3704,整租·庆丰拥涛府 3室2厅 南,https://bj.lianjia.com/zufang/HZ2105571205367988224.html,萧山区-萧山新城区-庆丰拥涛府,萧山区,97.00㎡,南,3室2厅2卫,6300,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105571205367988224,2025/12/8 22:01
3705,合租·金珺澜庭一区 2居室 南卧,https://bj.lianjia.com/zufang/HZ2105578754418933760.html,萧山区-萧山新城区-金珺澜庭一区,萧山区,70.00㎡,南,2室1厅1卫,4200,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105578754418933760,2025/12/8 22:01
3706,整租·临平新时代 1室1厅 南,https://bj.lianjia.com/zufang/HZ2105577163158716416.html,临平区-临平新城-临平新时代,临平区,50.00㎡,南,1室1厅1卫,1800,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105577163158716416,2025/12/8 22:01
3707,整租·普大福地 2室1厅 南,https://bj.lianjia.com/zufang/HZ2105579387893055488.html,上城区-九堡-普大福地,上城区,55.00㎡,南,2室1厅2卫,4000,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105579387893055488,2025/12/8 22:01
3708,独栋·联寓E家 七号线公寓 【新汉路首先】近地铁7号线 独厨独卫 品牌直租 1室1厅,https://bj.lianjia.com/apartment/75064.html,仅剩2间,仅剩2间,33.00㎡,2间在租,1室1厅1卫,2400-2500,精装,联寓E家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,640998,2025/12/8 22:01
3709,独栋·魔方公寓 杭州绍兴路店 落地窗采光 整租月付无压力 毕业生专属 1室1厅,https://bj.lianjia.com/apartment/75573.html,仅剩1间,仅剩1间,25.00㎡,1间在租,1室1厅1卫,1980,精装,魔方公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,644744,2025/12/8 22:01
3710,整租·三里新城橘苑 2室2厅 南,https://bj.lianjia.com/zufang/HZ2105579446600728576.html,上城区-三里亭-三里新城橘苑,上城区,82.86㎡,南,2室2厅1卫,3100,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105579446600728576,2025/12/8 22:01
3711,独栋·魔方公寓 杭州绍兴路店 到店看房好礼相赠 首月立减 押一付一 1室1厅,https://bj.lianjia.com/apartment/75573.html,仅剩1间,仅剩1间,25.00㎡,1间在租,1室1厅1卫,1880,精装,魔方公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,644767,2025/12/8 22:01
3712,整租·众安白马御府 3室2厅 南,https://bj.lianjia.com/zufang/HZ2105582157379403776.html,萧山区-萧山新城区-众安白马御府,萧山区,130.00㎡,南,3室2厅1卫,4700,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105582157379403776,2025/12/8 22:01
3713,合租·天悦府 3居室 西北卧,https://bj.lianjia.com/zufang/HZ2105584433078730752.html,拱墅区-和睦-天悦府,拱墅区,15.00㎡,西北,3室1厅1卫,1500,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105584433078730752,2025/12/8 22:01
3714,独栋·泊寓 国展店 【到店看房可领500元优惠券】独立大开间·24h安保 1室1厅,https://bj.lianjia.com/apartment/79751.html,仅剩3间,仅剩3间,34.00㎡,3间在租,1室1厅1卫,2135-2176,,泊寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,802643,2025/12/8 22:01
3715,整租·金地大运宸府 4室2厅 南,https://bj.lianjia.com/zufang/HZ2105585006230372352.html,拱墅区-桥西-金地大运宸府,拱墅区,139.00㎡,南,4室2厅2卫,9300,精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105585006230372352,2025/12/8 22:01
3716,整租·港郦中心 1室1厅 北,https://bj.lianjia.com/zufang/HZ2105583560952905728.html,余杭区-老余杭-港郦中心,余杭区,34.00㎡,北,1室1厅1卫,1500,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105583560952905728,2025/12/8 22:01
3717,整租·复地绿城月映咏荷园 3室2厅 南,https://bj.lianjia.com/zufang/HZ2105589533125902336.html,临平区-东湖-复地绿城月映咏荷园,临平区,99.00㎡,南,3室2厅2卫,3700,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105589533125902336,2025/12/8 22:01
3718,独栋·爱租 文华艺佳城店 【首月99元】萧山银泰旁精装可做饭大客厅网红户型 1室1厅,https://bj.lianjia.com/apartment/74176.html,仅剩1间,仅剩1间,40.00㎡,1间在租,1室1厅1卫,2000,精装,爱租,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,851569,2025/12/8 22:01
3719,整租·新中北家园 2室1厅 南,https://bj.lianjia.com/zufang/HZ2105590369226850304.html,萧山区-钱江世纪城-新中北家园,萧山区,70.00㎡,南,2室1厅2卫,4200,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105590369226850304,2025/12/8 22:01
3720,独栋·爱租 文华艺佳城店 【首月99元】带衣帽间、化妆桌适合直播2室精装 2室1厅,https://bj.lianjia.com/apartment/74176.html,仅剩1间,仅剩1间,40.00㎡,1间在租,2室1厅1卫,2800,精装,爱租,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,836555,2025/12/8 22:01
3721,整租·设计大厦 1室0厅 南,https://bj.lianjia.com/zufang/HZ1859532912592945152.html,临平区-临平新城-设计大厦,临平区,618.00㎡,南,1室0厅0卫,38000,精装,,"https://image1.ljcdn.com/110000-inspection/pc1_OYRCZpvgf.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ1859532912592945152,2025/12/8 22:01
3722,合租·密渡桥路2号 3居室 北卧,https://bj.lianjia.com/zufang/HZ2018186109946691584.html,精选,精选,拱墅区-湖墅-密渡桥路2号,11.13㎡,北,1430,精装,自如,https://image1.ljcdn.com/rent-house-1/img/ad40efae68e06d5607579210fcfcecd2-1757582163241/c45af1987827cf8275dff70e2d72eb44.jpg.250x182.jpg,HZ2018186109946691584,2025/12/8 22:01
3723,整租·中南国际 3室1厅 东,https://bj.lianjia.com/zufang/HZ1858489540201676800.html,滨江区-长河-中南国际,滨江区,256.00㎡,东,3室1厅0卫,18600,精装,,"https://image1.ljcdn.com/110000-inspection/pc1_MFUZjVCzP.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ1858489540201676800,2025/12/8 22:01
3724,合租·九龙仓珑玺 5居室 北卧,https://bj.lianjia.com/zufang/HZ2018194364408266752.html,拱墅区-申花-九龙仓珑玺,拱墅区,9.70㎡,北,5室1厅2卫,1190,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2018194364408266752,2025/12/8 22:01
3725,合租·奥克斯时代未来之城 4居室 北卧,https://bj.lianjia.com/zufang/HZ2018193294076411904.html,余杭区-未来科技城-奥克斯时代未来之城,余杭区,6.80㎡,北,4室1厅1卫,1130,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2018193294076411904,2025/12/8 22:01
3726,整租·阳光公寓 3室2厅 东南,https://bj.lianjia.com/zufang/HZ1859086444191023104.html,桐庐县-桐庐-阳光公寓,桐庐县,117.88㎡,东南,3室2厅1卫,1700,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1859086444191023104,2025/12/8 22:01
3727,整租·振泽左右办公世界 4室2厅 西南,https://bj.lianjia.com/zufang/HZ1859205408757907456.html,萧山区-钱江世纪城-振泽左右办公世界,萧山区,262.00㎡,西南,4室2厅0卫,21058,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1859205408757907456,2025/12/8 22:01
3728,整租·永兴花园 3室2厅 南,https://bj.lianjia.com/zufang/HZ1862362445205471232.html,富阳区-富春-永兴花园,富阳区,140.00㎡,南,3室2厅2卫,2600,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1862362445205471232,2025/12/8 22:01
3729,合租·苕溪公馆 5居室 北卧,https://bj.lianjia.com/zufang/HZ1863784005573279744.html,临安区-临安-苕溪公馆,临安区,15.00㎡,北,5室1厅2卫,680,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1863784005573279744,2025/12/8 22:01
3730,合租·阳光郡 5居室 北卧,https://bj.lianjia.com/zufang/HZ2018191940863918080.html,拱墅区-三墩-阳光郡,拱墅区,7.80㎡,北,5室1厅2卫,902,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2018191940863918080,2025/12/8 22:01
3731,整租·赞成檀府 4室0厅 南,https://bj.lianjia.com/zufang/HZ1859441985656455168.html,临平区-临平新城-赞成檀府,临平区,127.00㎡,南,4室0厅4卫,3500,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1859441985656455168,2025/12/8 22:01
